id,decisions,caseno,title,type,claimant,econsector,instrumentinvk1,instrumentinvk2,partiessub,respondent,rulesapplied,seatarbitration,status,subject
788,,ARB/76/1,Gabon  v. Société Serete S.A. (ICSID Case No. ARB/76/1),"",Gabon ,Construction,"",Contract,,Société Serete S.A.,ICSID Convention - Arbitration Rules,"",Concluded,Construction of a hospital maternity ward
786,,ARB/77/2,S.A.R.L. Benvenuti & Bonfant  v. People's Republic of the Congo (ICSID Case No. ARB/77/2),"",S.A.R.L. Benvenuti & Bonfant ,Other Industry,"",Contract,,People's Republic of the Congo,ICSID Convention - Arbitration Rules,"",Concluded,Manufacture of plastic bottles
787,,ARB/77/1,AGIP S.p.A. v. People's Republic of the Congo (ICSID Case No. ARB/77/1),"",AGIP S.p.A.,"Oil, Gas & Mining","",Contract,,People's Republic of the Congo,ICSID Convention - Arbitration Rules,"",Concluded,Oil products distribution venture
37,,ARB/16/32,Thomas Gosling and others v. Republic of Mauritius (ICSID Case No. ARB/16/32),"",Thomas Gosling and others,Tourism,BIT Mauritius - United Kingdom of Great Britain and Northern Ireland 1986,"",,MUS,ICSID Convention - Arbitration Rules,"",Pending,Real estate projects
44,,ARB/16/27,Sevilla Beheer B.V. and others v. Kingdom of Spain (ICSID Case No. ARB/16/27),"",Sevilla Beheer B.V. and others,Electric Power & Other Energy,"",ECT (Energy Charter Treaty),,ESP,ICSID Convention - Arbitration Rules,"",Pending,Renewable energy generation enterprise
38,,UNCT/17/1,Mr. Joshua Dean Nelson and Mr. Jorge Blanco v. United Mexican States (ICSID Case No. UNCT/17/1),"",Mr. Joshua Dean Nelson and Mr. Jorge Blanco,Information & Communication,"",NAFTA (North American Free Trade Agreement),,MEX,UNCITRAL,"",Pending,Telecommunications enterprise
39,,ARB/16/31,UniCredit Bank Austria AG and Zagrebačka Banka d.d. v. Republic of Croatia (ICSID Case No. ARB/16/31),"",UniCredit Bank Austria AG and Zagrebačka Banka d.d.,Finance,BIT Croatia - Austria 1997,"",,HRV,ICSID Convention - Arbitration Rules,"",Pending,Banking services and debt instruments
43,,ARB/16/28,Amlyn Holding B.V.  v. Republic of Croatia (ICSID Case No. ARB/16/28),"",Amlyn Holding B.V.,Electric Power & Other Energy,"",ECT (Energy Charter Treaty),,HRV,ICSID Convention - Arbitration Rules,"",Pending,Biomass power plant
41,,ARB/16/30,Görkem Inşaat Sanayi ve Ticaret Limited Şirketi v. Turkmenistan (ICSID Case No. ARB/16/30),"",Görkem Inşaat Sanayi ve Ticaret Limited Şirketi,Construction,BIT Turkmenistan - Turkey 1992,"",,TKM,ICSID Convention - Arbitration Rules,"",Pending,Construction of a shopping and trade center
42,,ARB/16/29,J&P-AVAX S.A. v. Lebanese Republic (ICSID Case No. ARB/16/29),"",J&P-AVAX S.A.,Electric Power & Other Energy,BIT Lebanon - Greece 1997,"",,LBN,ICSID Convention - Arbitration Rules,"",Pending,Electric power generation project
