document_id,url,title,date,dispute_title,document_type.name,annulment_committee_members,annulment_committee_president,arbitrator,claimant_appointee,claimant_counsel,claimant_expert,country,judge,other_counsel,other_expert,president,respondent_appointee,respondent_counsel,respondent_expert
1,http://www.italaw.com/sites/default/files/case-documents/ita0059.pdf,Award,2009-09-08 07:00:00,"Azpetrol International Holdings B.V., Azpetrol Group B.V. and Azpetrol Oil Services Group B.V. v. The Republic of Azerbaijan, ICSID Case No. ARB/06/15",Award,,,,Charles Brower,,,,,,,Florentino Feliciano,Christopher Greenwood,,
3,,Award on Jurisdiction (not public),2007-10-05 07:00:00,"Werner Schneider, acting in his capacity as insolvency administrator of Walter Bau Ag (In Liquidation) v. The Kingdom of Thailand, UNCITRAL (formerly Walter Bau AG (in liquidation) v. The Kingdom of Thailand)",Award,,,,,,,,,,,,,,
4,http://www.italaw.com/sites/default/files/case-documents/ita0067.pdf,Award,2009-07-01 07:00:00,"Werner Schneider, acting in his capacity as insolvency administrator of Walter Bau Ag (In Liquidation) v. The Kingdom of Thailand, UNCITRAL (formerly Walter Bau AG (in liquidation) v. The Kingdom of Thailand)",Award,,,,Marc Lalonde,,,,,,,Ian Barker,Jayavadh Bunnag,,
5,http://www.italaw.com/sites/default/files/case-documents/ita0068.pdf,Stipulation and Order Extending Briefing Schedule of Thailand's Cross-Motion to Dismiss Petition,2010-09-16 07:00:00,"Werner Schneider, acting in his capacity as insolvency administrator of Walter Bau Ag (In Liquidation) v. The Kingdom of Thailand, UNCITRAL (formerly Walter Bau AG (in liquidation) v. The Kingdom of Thailand)",Order,,,,,,,United States of America,,,,,,,
5,http://www.italaw.com/sites/default/files/case-documents/ita0068.pdf,Stipulation and Order Extending Briefing Schedule of Thailand's Cross-Motion to Dismiss Petition,2010-09-16 07:00:00,"Werner Schneider, acting in his capacity as insolvency administrator of Walter Bau Ag (In Liquidation) v. The Kingdom of Thailand, UNCITRAL (formerly Walter Bau AG (in liquidation) v. The Kingdom of Thailand)",Request,,,,,,,United States of America,,,,,,,
6,http://www.italaw.com/sites/default/files/case-documents/ita0069.pdf,Confirmation of Arbitral Award,2011-03-14 07:00:00,"Werner Schneider, acting in his capacity as insolvency administrator of Walter Bau Ag (In Liquidation) v. The Kingdom of Thailand, UNCITRAL (formerly Walter Bau AG (in liquidation) v. The Kingdom of Thailand)",Award,,,,,,,United States of America,,,,,,,
10,http://www.italaw.com/sites/default/files/case-documents/ita0073.pdf,Order re Scheduling of Pre-Argument Conference,2011-04-28 07:00:00,"Werner Schneider, acting in his capacity as insolvency administrator of Walter Bau Ag (In Liquidation) v. The Kingdom of Thailand, UNCITRAL (formerly Walter Bau AG (in liquidation) v. The Kingdom of Thailand)",Order,,,,,,,United States of America,,,,,,,
17,http://www.italaw.com/sites/default/files/case-documents/ita0061.pdf,Award (English),2006-07-14 07:00:00,"Azurix Corp. v. The Argentine Republic, ICSID Case No. ARB/01/12",Award,,,,Marc Lalonde,,,,,,,Andrés Rigo Sureda,Daniel Martins,,
18,http://www.italaw.com/sites/default/files/case-documents/ita0063.pdf,Decision on the Argentine Republic’s Request for a Continued Stay of Enforcement of the Award (English),2007-12-28 08:00:00,"Azurix Corp. v. The Argentine Republic, ICSID Case No. ARB/01/12",Award,Bola Ajibola,Gavan Griffith,,,,,,,,,,,,
18,http://www.italaw.com/sites/default/files/case-documents/ita0063.pdf,Decision on the Argentine Republic’s Request for a Continued Stay of Enforcement of the Award (English),2007-12-28 08:00:00,"Azurix Corp. v. The Argentine Republic, ICSID Case No. ARB/01/12",Request,Bola Ajibola,Gavan Griffith,,,,,,,,,,,,
19,http://www.italaw.com/sites/default/files/case-documents/ita0065.pdf,Decision on the Application for Annulment of the Argentine Republic (English),2009-09-01 07:00:00,"Azurix Corp. v. The Argentine Republic, ICSID Case No. ARB/01/12",Request,Bola Ajibola,Gavan Griffith,,,,,,,,,,,,
23,http://www.italaw.com/sites/default/files/case-documents/ita0057.pdf,Award (English),1999-11-01 08:00:00,"Robert Azinian, Kenneth Davitian, & Ellen Baca v. The United Mexican States, ICSID Case No. ARB (AF)/97/2",Award,,,Benjamin Civiletti,,,,,,,,Jan Paulsson,,,
24,http://www.iareporter.com/articles/20120726_1,"Notice of Dispute (not public, see IAReporter story)",,Axiata Group v. India,Report,,,,,,,,,,,,,,
27,http://www.italaw.com/sites/default/files/case-documents/ita0051_0.pdf,Procedural Order No. 2 (English),2006-08-03 07:00:00,"AWG Group Ltd. v. The Argentine Republic, UNCITRAL",Order,,,,,,,,,,,Jeswald Salacuse,,,
31,http://www.italaw.com/sites/default/files/case-documents/italaw6304.pdf,Award,2015-04-09 07:00:00,"AWG Group Ltd. v. The Argentine Republic, UNCITRAL",Award,,,Pedro Nikken,,Freshfields Bruckhaus Deringer LLP,,,,,,Jeswald W. Salacuse,,Procuradora del Tesoro de la Nación,
