DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,DISPUTE.icsid_caseno
3630,"Shell Brands International AG and Shell Nicaragua S.A. v. Republic of Nicaragua, ICSID Case No. ARB/06/14",Other service activities,,,Netherlands-Nicaragua BIT,2306.0,,ICSID,Settled,Netherlands-Nicaragua BIT,,ARB/06/14
116,"Azpetrol International Holdings B.V., Azpetrol Group B.V. and Azpetrol Oil Services Group B.V. v. The Republic of Azerbaijan, ICSID Case No. ARB/06/15",,AZE,,Energy Charter Treaty (ECT),59.0,Azpetrol International Holdings B.V.,ICSID,,Energy Charter Treaty (ECT),,ARB/06/15
118,"Azurix Corp. v. The Argentine Republic, ICSID Case No. ARB/01/12",,ARG,,Argentina-United States BIT,179.0,Azurix Corp.,ICSID,,Argentina-United States BIT,,ARB/01/12
3455,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo, ICSID Case No. ARB/98/7","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,,,,ARB/98/7
114,"Robert Azinian, Kenneth Davitian, & Ellen Baca v. The United Mexican States, ICSID Case No. ARB (AF)/97/2",,MEX,,NAFTA,11.0,"Azinian, Davitian, Baca",ICSID Additional Facility,,NAFTA,,ARB(AF)/97/2
1945,Axiata Group v. India,,IND,,India-Mauritius BIT,874.0,Axiata Group,,,India-Mauritius BIT,,
3257,AVIC International Holding Corporation and Chengdu Aircraft Corporation v Triumph Aerostructures,"Professional, scientific and technical activities",,US $20,,,,ICC,In favour of Investor,,,
106,"AWG Group Ltd. v. The Argentine Republic, UNCITRAL",,ARG,,Argentina-United Kingdom BIT,119.0,AWG Group Ltd.,UNCITRAL,,Argentina-United Kingdom BIT,,
3258,AVIC International Holding Corporation and Chengdu Aircraft Corporation v. Triumph Aerostructures,"Professional, scientific and technical activities",,"US $20,000,000",,,,ICC,In favour of Investor,,,
101,"Mr. Hassan Awdi, Enterprise Business Consultants, Inc. and Alfa El Corporation v. Romania, ICSID Case No. ARB/10/13",,ROU,,Romania-United States BIT,114.0,"Awdi, Enterprise Business Consultants Inc.",ICSID,,Romania-United States BIT,,ARB/10/13
3256,AVIC International Holding Corporation and Chengdu Aircraft Corporation v Triumph Aerostructures,"Professional, scientific and technical activities",,US $20,,,,ICC,In favour of Investor,,,
3659,"Iberdrola, S.A. and Iberdrola Energía, S.A.U. v. Plurinational State of Bolivia, PCA Case No. 2015-05","Electricity, gas, steam and air conditioning supply",,,,640.0,,,,Bolivia-Spain BIT,,2015-05
1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3",,MEX,,NAFTA,11.0,"Waste Management, Inc.",ICSID Additional Facility,,NAFTA,,ARB(AF)/00/3
1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15",,ZWE,,Germany-Zimbabwe BIT,777.0,von Pezold,ICSID,,Germany-Zimbabwe BIT,,ARB/10/15
1155,"Waste Management, Inc. v. United Mexican States, ICSID Case No. ARB(AF)/98/2",,MEX,,NAFTA,11.0,"Waste Management, Inc.",ICSID Additional Facility,,NAFTA,,ARB(AF)/98/2
1105,"Total S.A. v. The Argentine Republic, ICSID Case No. ARB/04/01",,ARG,,Argentina-France BIT,234.0,Total S.A.,ICSID,,Argentina-France BIT,,ARB/04/1
2515,"Voltaic Network GmbH v. Czech Republic, UNCITRAL",,CZE,,Czech Republic-Germany BIT,149.0,Voltaic Network GmbH,UNCITRAL,,Czech Republic-Germany BIT,,
2544,"Vodafone v. India, UNCITRAL",,IND,,India-Netherlands BIT,1046.0,Vodafone,UNCITRAL,,India-Netherlands BIT,,
3273,"Zhinvali Development Ltd. v. Republic of Georgia, ICSID Case No. ARB/00/1","Electricity, gas, steam and air conditioning supply",,,Law No. 473 of 1996 On Promotion and Guarantees of Investment Activity [Georgia],,,ICSID,In favour of Investor,,,ARB/00/1
1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227",,RUS,,Energy Charter Treaty (ECT),59.0,Yukos Universal Limited (Isle of Man),UNCITRAL,,Energy Charter Treaty (ECT),,AA 227
1173,"Yaung Chi Oo Trading Pte. Ltd. v. Government of the Union of Myanmar, ASEAN I.D. Case No. ARB/01/1",,MMR,,ASEAN Agreement for the Promotion and Protection of Investments,624.0,Yaung Chi Oo Trading Pte. Ltd.,ICSID,,ASEAN Agreement for the Promotion and Protection of Investments,,ARB/01/1
3277,"WRB Enterprises and Grenada Private Power Limited v. Grenada, ICSID Case No. ARB/97/5","Electricity, gas, steam and air conditioning supply",,,,,,ICSID,Settled,,,ARB/97/5
2354,"World Wide Minerals v. Republic of Kazakhstan, UNCITRAL (Case 2)",,KAZ,,Canada-USSR BIT,1001.0,World Wide Minerals,UNCITRAL,,Canada-USSR BIT,,
3453,"Barmek Holding A.S. v. Republic of Azerbaijan, ICSID Case No. ARB/06/16","Electricity, gas, steam and air conditioning supply",,,Turkey-Azerbaijan BIT,2100.0,,,Settled,Turkey-Azerbaijan BIT,,ARB/06/16
3456,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo, ICSID Case No. ARB/98/7","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,,,,ARB/98/7
1169,"White Industries Australia Limited v. The Republic of India, UNCITRAL",,IND,,Australia-India BIT,621.0,White Industries Australia Limited,UNCITRAL,,Australia-India BIT,,
1167,"Western NIS Enterprise Fund v. Ukraine, ICSID Case No. ARB/04/2",,UKR,,Ukraine-United States BIT,337.0,Western NIS Enterprise Fund,ICSID,,Ukraine-United States BIT,,ARB/04/2
1162,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4",,EGY,,Egypt-United Kingdom BIT,396.0,Wena Hotels Ltd.,ICSID,,Egypt-United Kingdom BIT,,ARB/98/4
1545,"World Wide Minerals v. Republic of Kazakhstan, UNCITRAL (Case 1)",,KAZ,,,,World Wide Minerals,UNCITRAL,,,,
3280,"World Duty Free Company v Republic of Kenya, ICSID Case No. Arb/00/7",Other service activities,,,,,,ICSID,In favour of Investor,,,ARB/00/7
