ICSID.caseno,DISPUTE.icsid_caseno,ICSID.id,DISPUTE.id
ARB/76/1,,788.0,
ARB/76/1,,798.0,
ARB/77/2,ARB/77/2,786.0,3522.0
ARB/77/2,ARB/77/2,796.0,3522.0
ARB/77/1,ARB/77/1,787.0,3500.0
ARB/77/1,ARB/77/1,797.0,3500.0
ARB/16/32,,37.0,
ARB/16/27,,44.0,
UNCT/17/1,,38.0,
ARB/16/31,,39.0,
ARB/16/28,,43.0,
ARB/16/30,,41.0,
ARB/16/29,,42.0,
ARB/81/2,ARB/81/2,785.0,3373.0
ARB/81/1,ARB/81/1,789.0,3475.0
ARB/16/21,ARB/16/21,51.0,3823.0
ARB/16/22,,50.0,
ARB/16/23,,49.0,
ARB/16/26,,46.0,
ARB(AF)/16/3,ARB(AF)/16/3,45.0,4258.0
ARB/72/1,ARB/72/1,793.0,3391.0
ARB/72/1,ARB/72/1,803.0,3391.0
ARB(AF)/04/3,ARB(AF)/04/3,546.0,480.0
ARB(AF)/04/3,ARB(AF)/04/3,556.0,480.0
ARB/84/3,ARB/84/3,775.0,3299.0
ARB/84/3,ARB/84/3,775.0,3300.0
ARB/84/4,ARB/84/4,772.0,3361.0
ARB/87/2,,769.0,
ARB/87/3,,768.0,
ARB/87/4,ARB/87/4,767.0,3570.0
CONC/94/1,,760.0,
ARB/94/1,,761.0,
ARB/92/1,ARB/92/1,765.0,3282.0
ARB/92/1,ARB/92/1,755.0,3282.0
ARB/93/1,,762.0,
ARB/94/2,ARB/94/2,759.0,1110.0
ARB/95/1,ARB/95/1,758.0,3369.0
ARB/95/1,ARB/95/1,758.0,3368.0
ARB/95/1,ARB/95/1,758.0,3367.0
ARB/95/1,ARB/95/1,748.0,3369.0
ARB/95/1,ARB/95/1,748.0,3368.0
ARB/95/1,ARB/95/1,748.0,3367.0
ARB/95/2,ARB/95/2,757.0,3450.0
ARB/95/2,ARB/95/2,747.0,3450.0
ARB/96/3,ARB/96/3,752.0,432.0
ARB/97/1,ARB/97/1,750.0,3314.0
ARB(AF)/97/1,ARB(AF)/97/1,751.0,671.0
ARB/95/3,ARB/95/3,756.0,508.0
ARB/95/3,ARB/95/3,746.0,508.0
ARB/97/2,ARB/97/2,749.0,3312.0
ARB/96/1,ARB/96/1,754.0,3413.0
ARB/96/1,ARB/96/1,744.0,3413.0
ARB/02/14,ARB/02/14,639.0,3439.0
ARB/82/1,ARB/82/1,773.0,3308.0
ARB/82/1,ARB/82/1,783.0,3308.0
ARB/97/5,ARB/97/5,740.0,3277.0
ARB/97/5,ARB/97/5,730.0,3277.0
ARB(AF)/97/2,ARB(AF)/97/2,742.0,114.0
ARB(AF)/97/2,ARB(AF)/97/2,732.0,114.0
ARB/97/4,ARB/97/4,741.0,238.0
ARB/97/4,ARB/97/4,731.0,238.0
ARB/97/6,ARB/97/6,739.0,608.0
ARB/97/6,ARB/97/6,729.0,608.0
ARB/98/3,ARB/98/3,726.0,3381.0
ARB/98/3,ARB/98/3,716.0,3381.0
ARB/98/2,ARB/98/2,727.0,829.0
ARB/99/2,,711.0,
ARB/16/25,ARB/16/25,47.0,5910.0
ARB/16/24,,48.0,
ARB/99/4,,704.0,
ARB/99/3,ARB/99/3,709.0,515.0
ARB(AF)/99/1,ARB(AF)/99/1,705.0,435.0
ARB/99/6,ARB/99/6,701.0,699.0
ARB/99/6,ARB/99/6,691.0,699.0
ARB/99/7,ARB/99/7,699.0,709.0
UNCT/02/1,UNCT/02/1,694.0,1138.0
ARB/00/5,ARB/00/5,692.0,3458.0
ARB/00/3,ARB/00/3,695.0,3392.0
ARB/00/4,ARB/00/4,693.0,958.0
ARB/00/8,ARB/00/8,688.0,3333.0
ARB/00/8,ARB/00/8,678.0,3333.0
ARB/00/7,ARB/00/7,689.0,3280.0
ARB/00/7,ARB/00/7,679.0,3280.0
ARB(AF)/00/3,ARB(AF)/00/3,685.0,1158.0
ARB/00/9,ARB/00/9,684.0,482.0
ARB/01/1,ARB/01/1,683.0,1173.0
ARB/01/1,ARB/01/1,673.0,1173.0
ARB(AF)/00/1,ARB(AF)/00/1,687.0,43.0
ARB(AF)/00/2,ARB(AF)/00/2,686.0,1087.0
ARB/01/2,,682.0,
ARB(AF)/98/3,ARB(AF)/98/3,707.0,632.0
ARB(AF)/98/3,ARB(AF)/98/3,717.0,632.0
ARB/01/7,ARB/01/7,672.0,717.0
ARB/01/10,,667.0,
ARB/01/5,ARB/01/5,675.0,3316.0
ARB/01/3,ARB/01/3,677.0,401.0
ARB/01/11,ARB/01/11,665.0,747.0
ARB/01/13,ARB/01/13,662.0,3046.0
ARB/01/13,ARB/01/13,662.0,1009.0
ARB/02/3,,655.0,
ARB(AF)/02/1,ARB(AF)/02/1,660.0,443.0
ARB(AF)/02/1,ARB(AF)/02/1,650.0,443.0
ARB/02/1,ARB/02/1,657.0,621.0
ARB/02/1,ARB/02/1,647.0,621.0
ARB/02/5,ARB/02/5,653.0,880.0
ARB/02/6,ARB/02/6,652.0,1018.0
ARB/02/10,ARB/02/10,644.0,546.0
ARB/02/9,ARB/02/9,645.0,245.0
ARB/02/9,ARB/02/9,635.0,245.0
ARB/02/8,ARB/02/8,646.0,1026.0
ARB/02/8,ARB/02/8,636.0,1026.0
ARB/02/12,ARB/02/12,642.0,3582.0
ARB/02/11,ARB/02/11,643.0,3395.0
ARB/14/28,ARB/14/28,135.0,5927.0
ARB/01/4,,666.0,
ARB/01/4,,676.0,
ARB/03/1,ARB/03/1,631.0,3583.0
ARB/03/3,ARB/03/3,629.0,556.0
ARB/03/3,ARB/03/3,619.0,556.0
ARB/02/18,ARB/02/18,632.0,1099.0
ARB/02/16,ARB/02/16,634.0,1002.0
ARB/02/16,ARB/02/16,624.0,1002.0
ARB/03/6,ARB/03/6,623.0,662.0
ARB/03/7,ARB/03/7,622.0,186.0
ARB/03/10,ARB/03/10,616.0,476.0
ARB/03/12,ARB/03/12,613.0,3585.0
ARB/03/12,ARB/03/12,613.0,3584.0
ARB/03/13,ARB/03/13,612.0,808.0
ARB/03/14,ARB/03/14,611.0,3586.0
ARB/03/17,ARB/03/17,606.0,1048.0
ARB/03/17,ARB/03/17,596.0,1048.0
ARB/03/19,ARB/03/19,604.0,1057.0
ARB/03/19,ARB/03/19,594.0,1057.0
CONC/05/1,CONC/05/1,537.0,3286.0
CONC/05/1,CONC/05/1,527.0,3286.0
ARB/03/20,ARB/03/20,601.0,1089.0
ARB/03/18,ARB/03/18,602.0,3588.0
ARB/03/18,ARB/03/18,592.0,3588.0
ARB/03/22,,599.0,
ARB/03/22,,589.0,
ARB/03/26,ARB/03/26,591.0,562.0
ARB/03/26,ARB/03/26,581.0,562.0
ARB/03/25,ARB/03/25,593.0,456.0
ARB/03/27,ARB/03/27,590.0,3590.0
ARB/03/27,ARB/03/27,580.0,3590.0
ARB/03/29,ARB/03/29,587.0,131.0
ARB/03/29,ARB/03/29,577.0,131.0
CONC/03/1,CONC/03/1,585.0,3591.0
ARB/04/1,ARB/04/1,583.0,1105.0
ARB/04/3,ARB/04/3,575.0,3592.0
ARB/04/4,ARB/04/4,576.0,1456.0
ARB/04/2,ARB/04/2,578.0,1167.0
ARB/04/5,ARB/04/5,573.0,3424.0
ARB/04/7,ARB/04/7,568.0,1035.0
ARB/04/11,ARB/04/11,566.0,3331.0
ARB(AF)/04/2,ARB(AF)/04/2,563.0,221.0
ARB(AF)/04/2,ARB(AF)/04/2,553.0,221.0
ARB/04/12,,565.0,
ARB/04/14,ARB/04/14,562.0,1171.0
ARB/04/14,ARB/04/14,552.0,1171.0
ARB/04/15,ARB/04/15,561.0,1093.0
ARB/04/17,ARB/04/17,558.0,3386.0
ARB/04/18,ARB/04/18,557.0,3594.0
ARB(AF)/04/4,ARB(AF)/04/4,555.0,597.0
ARB(AF)/04/5,,551.0,
ARB/04/21,ARB/04/21,547.0,3596.0
ARB(AF)/04/6,ARB(AF)/04/6,549.0,1146.0
ARB/05/1,ARB/05/1,545.0,1520.0
ARB/05/1,ARB/05/1,535.0,1520.0
ARB/05/5,ARB/05/5,541.0,1118.0
ARB/05/6,ARB/05/6,540.0,467.0
ARB/05/7,ARB/05/7,539.0,951.0
ARB/05/7,ARB/05/7,529.0,951.0
ARB/05/8,ARB/05/8,538.0,812.0
ARB(AF)/04/1,ARB(AF)/04/1,569.0,345.0
ARB(AF)/04/1,ARB(AF)/04/1,579.0,345.0
ARB/04/9,ARB/04/9,560.0,3119.0
ARB/04/9,ARB/04/9,570.0,3119.0
ARB/05/12,ARB/05/12,521.0,745.0
ARB/05/12,ARB/05/12,531.0,745.0
ARB/05/10,ARB/05/10,534.0,646.0
ARB/05/10,ARB/05/10,524.0,646.0
ARB/05/15,ARB/05/15,526.0,1022.0
ARB/05/15,ARB/05/15,516.0,1022.0
ARB/05/13,ARB/05/13,530.0,375.0
ARB/05/13,ARB/05/13,520.0,375.0
ARB/05/14,ARB/05/14,528.0,940.0
ARB/05/14,ARB/05/14,518.0,940.0
ARB(AF)/05/1,ARB(AF)/05/1,532.0,134.0
ARB/05/17,ARB/05/17,522.0,353.0
ARB/05/17,ARB/05/17,512.0,353.0
ARB/05/16,ARB/05/16,523.0,942.0
ARB/05/20,ARB/05/20,515.0,697.0
ARB/05/20,ARB/05/20,505.0,697.0
ARB/06/4,ARB/06/4,504.0,3616.0
ARB/06/4,ARB/06/4,494.0,3616.0
ARB/06/2,ARB/06/2,507.0,885.0
ARB/16/41,,27.0,
ARB/06/5,ARB/06/5,503.0,850.0
ARB/06/7,ARB/06/7,500.0,3288.0
ARB(AF)/06/1,ARB(AF)/06/1,499.0,1506.0
ARB/06/8,ARB/06/8,497.0,626.0
ARB/06/12,ARB/06/12,492.0,3329.0
ARB/06/12,ARB/06/12,492.0,3328.0
ARB/06/14,ARB/06/14,490.0,3630.0
ARB/06/14,ARB/06/14,490.0,3631.0
ARB/06/9,ARB/06/9,496.0,3626.0
ARB/06/11,ARB/06/11,493.0,767.0
ARB/06/11,ARB/06/11,483.0,767.0
ARB/06/17,,487.0,
ARB/06/20,ARB/06/20,481.0,3351.0
ARB/06/20,ARB/06/20,471.0,3351.0
UNCT/07/1,UNCT/07/1,479.0,669.0
ARB/06/21,ARB/06/21,480.0,3432.0
ARB(AF)/07/1,ARB(AF)/07/1,478.0,446.0
ARB(AF)/06/2,ARB(AF)/06/2,486.0,228.0
ARB(AF)/06/2,ARB(AF)/06/2,476.0,228.0
ARB/06/19,ARB/06/19,482.0,739.0
