DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,ICSID.id,ICSID.decisions,ICSID.caseno,ICSID.title,ICSID.type,ICSID.claimant,ICSID.econsector,ICSID.instrumentinvk1,ICSID.instrumentinvk2,ICSID.partiessub,ICSID.respondent,ICSID.rulesapplied,ICSID.seatarbitration,ICSID.status,ICSID.subject
3630,"Shell Brands International AG and Shell Nicaragua S.A. v. Republic of Nicaragua, ICSID Case No. ARB/06/14",Other service activities,,,Netherlands-Nicaragua BIT,2306.0,,ICSID,Settled,Netherlands-Nicaragua BIT,,490.0,,ARB/06/14,Shell Brands International AG and Shell Nicaragua S.A. v. Republic of Nicaragua  (ICSID Case No. ARB/06/14),,Shell Brands International AG and Shell Nicaragua S.A.,Other Industry,BIT Netherlands - Nicaragua 2000,,,NIC,ICSID Convention - Arbitration Rules,,Concluded,Trademarks
116,"Azpetrol International Holdings B.V., Azpetrol Group B.V. and Azpetrol Oil Services Group B.V. v. The Republic of Azerbaijan, ICSID Case No. ARB/06/15",,AZE,,Energy Charter Treaty (ECT),59.0,Azpetrol International Holdings B.V.,ICSID,,Energy Charter Treaty (ECT),,489.0,,ARB/06/15,"Azpetrol International Holdings B.V., Azpetrol Group B.V. and Azpetrol Oil Services Group B.V. v. Republic of Azerbaijan  (ICSID Case No. ARB/06/15)",,"Azpetrol International Holdings B.V., Azpetrol Group B.V. and Azpetrol Oil Services Group B.V.","Oil, Gas & Mining",,ECT (Energy Charter Treaty),,AZE,ICSID Convention - Arbitration Rules,,Concluded,"Oil and gas distribution, trade, storage and transportation enterprise"
118,"Azurix Corp. v. The Argentine Republic, ICSID Case No. ARB/01/12",,ARG,,Argentina-United States BIT,179.0,Azurix Corp.,ICSID,,Argentina-United States BIT,,663.0,,ARB/01/12,Azurix Corp.  v. Argentine Republic  (ICSID Case No. ARB/01/12),,Azurix Corp.,"Water, Sanitation & Flood Protection",BIT United States of America - Argentina 1991,,,ARG,ICSID Convention - Arbitration Rules,,Concluded,Water and sewer services concession agreement
3455,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo, ICSID Case No. ARB/98/7","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,,,,720.0,,ARB/98/7,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo  (ICSID Case No. ARB/98/7)",,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L.","Oil, Gas & Mining",,Other,,Democratic Republic of the Congo,ICSID Convention - Arbitration Rules,,Concluded,Gold mining concessions
3455,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo, ICSID Case No. ARB/98/7","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,,,,710.0,,ARB/98/7,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo  (ICSID Case No. ARB/98/7)",,"Banro American Resources, Inc. and Société Aurifère du Kivu et du Maniema S.A.R.L.","Oil, Gas & Mining",,Other,,Democratic Republic of the Congo,ICSID Convention - Arbitration Rules,,Concluded,Gold mining concessions
114,"Robert Azinian, Kenneth Davitian, & Ellen Baca v. The United Mexican States, ICSID Case No. ARB (AF)/97/2",,MEX,,NAFTA,11.0,"Azinian, Davitian, Baca",ICSID Additional Facility,,NAFTA,,742.0,,ARB(AF)/97/2,Robert Azinian and others  v. United Mexican States  (ICSID Case No. ARB(AF)/97/2),,Robert Azinian and others,"Water, Sanitation & Flood Protection",,"Contract, NAFTA (North American Free Trade Agreement)",,MEX,ICSID Additional Facility - Arbitration Rules,"Toronto, Canada",Concluded,Waste disposal enterprise
114,"Robert Azinian, Kenneth Davitian, & Ellen Baca v. The United Mexican States, ICSID Case No. ARB (AF)/97/2",,MEX,,NAFTA,11.0,"Azinian, Davitian, Baca",ICSID Additional Facility,,NAFTA,,732.0,,ARB(AF)/97/2,Robert Azinian and others  v. United Mexican States  (ICSID Case No. ARB(AF)/97/2),,Robert Azinian and others ,"Water, Sanitation & Flood Protection",,"Contract, NAFTA (North American Free Trade Agreement)",,MEX,ICSID Additional Facility - Arbitration Rules,"Toronto, Canada",Concluded,Waste disposal enterprise
1945,Axiata Group v. India,,IND,,India-Mauritius BIT,874.0,Axiata Group,,,India-Mauritius BIT,,,,,,,,,,,,,,,,
3257,AVIC International Holding Corporation and Chengdu Aircraft Corporation v Triumph Aerostructures,"Professional, scientific and technical activities",,US $20,,,,ICC,In favour of Investor,,,,,,,,,,,,,,,,,
106,"AWG Group Ltd. v. The Argentine Republic, UNCITRAL",,ARG,,Argentina-United Kingdom BIT,119.0,AWG Group Ltd.,UNCITRAL,,Argentina-United Kingdom BIT,,,,,,,,,,,,,,,,
