id,code,title,short_title,reports_adopted,update_date,start_date,status_date,status_description,status_name,Country[Third_Party],Country[Respondent],Country[Claimant],dolcode,subject_name
1,DS1,Prohibition of Imports of Polyethylene and Polypropylene,"",false,2010-02-24 00:00:00.000000,1995-01-10 00:00:00.000000,1995-03-29 00:00:00.000000,"Request withdrawn, measure terminated, or mutually agreed solution under Article 3.6 of the DSU notified prior to adoption of Appellate Body and/or panel report(s).","Settled or terminated (withdrawn, mutually agreed solution)",,MYS,SGP,"GATT 1994,LIC 1994",Polyethylene and Polypropylene
2,DS2,Standards for Reformulated and Conventional Gasoline,US — Gasoline,true,2010-02-24 00:00:00.000000,1995-01-24 00:00:00.000000,1997-09-25 00:00:00.000000,The respondent has notified that it has implemented the DSB recommendation to bring the disputed measure into conformity with WTO law.  No compliance proceeding initiated.,Implementation notified by respondent,"AUS,CAN,EEC,NOR",USA,VEN,"GATT 1994,TBT 1994",Gasoline
2,DS2,Standards for Reformulated and Conventional Gasoline,US — Gasoline,true,2010-02-24 00:00:00.000000,1995-01-24 00:00:00.000000,1997-09-25 00:00:00.000000,The respondent has notified that it has implemented the DSB recommendation to bring the disputed measure into conformity with WTO law.  No compliance proceeding initiated.,Implementation notified by respondent,"AUS,CAN,EEC,NOR",USA,VEN,"GATT 1994,TBT 1994",Petrochemical
3,DS3,Measures Concerning the Testing and Inspection of Agricultural Products,"",false,2010-02-24 00:00:00.000000,1995-04-04 00:00:00.000000,1995-04-04 00:00:00.000000,"Complainant requests consultations with respondent, no dispute panel established and no withdrawal or mutually agreed solution notified.",In consultations,,KOR,USA,"AGR,GATT 1994,SPS,TBT 1994",Agricultural and Food
3,DS3,Measures Concerning the Testing and Inspection of Agricultural Products,"",false,2010-02-24 00:00:00.000000,1995-04-04 00:00:00.000000,1995-04-04 00:00:00.000000,"Complainant requests consultations with respondent, no dispute panel established and no withdrawal or mutually agreed solution notified.",In consultations,,KOR,USA,"AGR,GATT 1994,SPS,TBT 1994",Agricultural Products
4,DS4,Standards for Reformulated and Conventional Gasoline,US — Gasoline,true,2010-02-24 00:00:00.000000,1995-04-10 00:00:00.000000,1997-09-25 00:00:00.000000,The respondent has notified that it has implemented the DSB recommendation to bring the disputed measure into conformity with WTO law.  No compliance proceeding initiated.,Implementation notified by respondent,,USA,BRA,"GATT 1994,TBT 1994",Gasoline
4,DS4,Standards for Reformulated and Conventional Gasoline,US — Gasoline,true,2010-02-24 00:00:00.000000,1995-04-10 00:00:00.000000,1997-09-25 00:00:00.000000,The respondent has notified that it has implemented the DSB recommendation to bring the disputed measure into conformity with WTO law.  No compliance proceeding initiated.,Implementation notified by respondent,,USA,BRA,"GATT 1994,TBT 1994",Petrochemical
5,DS5,Measures Concerning the Shelf-Life of Products,"",false,2010-02-24 00:00:00.000000,1995-05-03 00:00:00.000000,1995-07-20 00:00:00.000000,"Request withdrawn, measure terminated, or mutually agreed solution under Article 3.6 of the DSU notified prior to adoption of Appellate Body and/or panel report(s).","Settled or terminated (withdrawn, mutually agreed solution)",,KOR,USA,"AGR,GATT 1994,SPS,TBT 1994",Agricultural and Food
5,DS5,Measures Concerning the Shelf-Life of Products,"",false,2010-02-24 00:00:00.000000,1995-05-03 00:00:00.000000,1995-07-20 00:00:00.000000,"Request withdrawn, measure terminated, or mutually agreed solution under Article 3.6 of the DSU notified prior to adoption of Appellate Body and/or panel report(s).","Settled or terminated (withdrawn, mutually agreed solution)",,KOR,USA,"AGR,GATT 1994,SPS,TBT 1994",Shelf-life of Products
6,DS6,Imposition of Import Duties on Automobiles from Japan under Sections 301 and 304 of the Trade act of 1974,"",false,2010-02-24 00:00:00.000000,1995-05-17 00:00:00.000000,1995-07-19 00:00:00.000000,"Request withdrawn, measure terminated, or mutually agreed solution under Article 3.6 of the DSU notified prior to adoption of Appellate Body and/or panel report(s).","Settled or terminated (withdrawn, mutually agreed solution)",,USA,JPN,"DSU,GATT 1994",Vehicles
6,DS6,Imposition of Import Duties on Automobiles from Japan under Sections 301 and 304 of the Trade act of 1974,"",false,2010-02-24 00:00:00.000000,1995-05-17 00:00:00.000000,1995-07-19 00:00:00.000000,"Request withdrawn, measure terminated, or mutually agreed solution under Article 3.6 of the DSU notified prior to adoption of Appellate Body and/or panel report(s).","Settled or terminated (withdrawn, mutually agreed solution)",,USA,JPN,"DSU,GATT 1994",Automobiles
7,DS7,Trade Description of Scallops,EC — Scallops (Canada),false,2010-02-24 00:00:00.000000,1995-05-19 00:00:00.000000,1996-07-05 00:00:00.000000,"Request withdrawn, measure terminated, or mutually agreed solution under Article 3.6 of the DSU notified prior to adoption of Appellate Body and/or panel report(s).","Settled or terminated (withdrawn, mutually agreed solution)","AUS,CHL,ISL,JPN,PER,USA",EEC,CAN,"GATT 1994,TBT 1994",Scallops
