id,document_id,symbol,title,title_en,title_fr,title_sp,date,derestricted_date,pages_en,pages_fr,pages_sp,status,collection,access_level,contents,dispute.code,doctype.name,document_reporttype.reporttype.name,document_product.product.name,document_url.url
14573,96-1597,WT/DS2/AB/R,,Appellate Body - United States - Standards for Reformulated and Conventional Gasoline - AB-1996-1 - Report of the Appellate Body,Organe d'appel - États-Unis - Normes concernant l'essence nouvelle et ancienne formules - AB-1996-1 - Rapport de l'Organe d'appel,Órgano de Apelación - Estados Unidos - Pautas para la gasolina reformulada y convencional - AB-1996-1 - Informe del Órgano de Apelación,1996-04-29 00:00:00.000000,1996-05-20 00:00:00.000000,30,34,35,Complete,WT,Public,Short title: US - Gasoline. Procedural matters. The Clean Air Act and its implementation. The Reformulated Gasoline Programme. The Conventional Gasoline Programme. Baseline establishment rules: Domestic refiners; Blenders; Importers. The panel report: Its finds and conclusions. Issues raised in this Appeal: The claim of error by the United States. The claim of the appellees and the arguments of the third participants (European Communities and Norway). The preliminary question. The issue of justification under Article XX.g of the General Agreement. The introductory provisions of Article XX of the General Agreement: Applying the Chapeau of the General exception. Findings and conclusions.,DS2,Appellate Body report,Normal Report,gasoline,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/14573/Q/WT/DS/2ABR.pdf
32900,96-3951,WT/DS8/AB/R ; WT/DS10/AB/R ; WT/DS11/AB/R,,Japan - Taxes on Alcoholic Beverages - AB-1996-2 - Report of the Appellate Body,Japon - Taxes sur les boissons alcooliques - AB-1996-2 - Rapport de l'Organe d'appel,Japón - Impuestos sobre las bebidas alcohólicas - AB-1996-2 - Informe del Órgano de Apelación,1996-10-04 00:00:00.000000,,33,38,40,Complete,WT,Public,Short title: Japan - Alcoholic Beverages II -- A. Introduction -- B. Aguments of participants -- C. Issues raised in the appeal-- D. Treaty interpretation -- E. Status of adopted panel reports -- Interpretation of article III -- G. article III:1 -- H. Article III.2 -- I. Conclusions and recommendations.,DS8,Appellate Body report,Normal Report,alcoholic beverages,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/32900/Q/WT/DS/8ABR.pdf
32900,96-3951,WT/DS8/AB/R ; WT/DS10/AB/R ; WT/DS11/AB/R,,Japan - Taxes on Alcoholic Beverages - AB-1996-2 - Report of the Appellate Body,Japon - Taxes sur les boissons alcooliques - AB-1996-2 - Rapport de l'Organe d'appel,Japón - Impuestos sobre las bebidas alcohólicas - AB-1996-2 - Informe del Órgano de Apelación,1996-10-04 00:00:00.000000,,33,38,40,Complete,WT,Public,Short title: Japan - Alcoholic Beverages II -- A. Introduction -- B. Aguments of participants -- C. Issues raised in the appeal-- D. Treaty interpretation -- E. Status of adopted panel reports -- Interpretation of article III -- G. article III:1 -- H. Article III.2 -- I. Conclusions and recommendations.,DS10,Appellate Body report,Normal Report,alcoholic beverages,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/32900/Q/WT/DS/8ABR.pdf
32900,96-3951,WT/DS8/AB/R ; WT/DS10/AB/R ; WT/DS11/AB/R,,Japan - Taxes on Alcoholic Beverages - AB-1996-2 - Report of the Appellate Body,Japon - Taxes sur les boissons alcooliques - AB-1996-2 - Rapport de l'Organe d'appel,Japón - Impuestos sobre las bebidas alcohólicas - AB-1996-2 - Informe del Órgano de Apelación,1996-10-04 00:00:00.000000,,33,38,40,Complete,WT,Public,Short title: Japan - Alcoholic Beverages II -- A. Introduction -- B. Aguments of participants -- C. Issues raised in the appeal-- D. Treaty interpretation -- E. Status of adopted panel reports -- Interpretation of article III -- G. article III:1 -- H. Article III.2 -- I. Conclusions and recommendations.,DS11,Appellate Body report,Normal Report,alcoholic beverages,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/32900/Q/WT/DS/8ABR.pdf
13234,96-2651,WT/DS8/R ; WT/DS10/R ; WT/DS11/R,,Japan - Taxes on Alcoholic Beverages - Report of the Panel,Japon - Taxes sur les boissons alcooliques - Rapport du Groupe spécial,Japón - Impuestos sobre las bebidas alcohólicas - Informe del Grupo Especial,1996-07-11 00:00:00.000000,,129,151,155,Complete,WT,Public,"Short title: Japan - Alcoholic Beverages II.
Introduction. Factual aspects: Japanese Liquor Tax Law. The 1987 Panel Report on Japan - Customs Duties, Taxes and Labelling Practices on Imported Wines and Alcoholic Beverages. Claims of the parties. Arguments of the parties: Preliminary objection of Japan. The legal value of the 1987 Panel Report. General presentation of the arguments of the parties on Article III.2. Article III.2, first sentence. Article III.2, second sentence. Application to the present case of the legal analysis suggested by the United States for the interpretation of Article III.2. Application to the present case of the legal analysis suggested by Japan for the interpretation of Article III.2. Interim review. Findings: Claims of the parties. Preliminary findings. Main findings. Conclusions. Annex I. Annex II. Annex III. Annex IV. Annex V. Annex VI. Annex VII.",DS8,Panel report,Normal Report,alcoholic beverages,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/13234/Q/WT/DS/8R.pdf
13234,96-2651,WT/DS8/R ; WT/DS10/R ; WT/DS11/R,,Japan - Taxes on Alcoholic Beverages - Report of the Panel,Japon - Taxes sur les boissons alcooliques - Rapport du Groupe spécial,Japón - Impuestos sobre las bebidas alcohólicas - Informe del Grupo Especial,1996-07-11 00:00:00.000000,,129,151,155,Complete,WT,Public,"Short title: Japan - Alcoholic Beverages II.
Introduction. Factual aspects: Japanese Liquor Tax Law. The 1987 Panel Report on Japan - Customs Duties, Taxes and Labelling Practices on Imported Wines and Alcoholic Beverages. Claims of the parties. Arguments of the parties: Preliminary objection of Japan. The legal value of the 1987 Panel Report. General presentation of the arguments of the parties on Article III.2. Article III.2, first sentence. Article III.2, second sentence. Application to the present case of the legal analysis suggested by the United States for the interpretation of Article III.2. Application to the present case of the legal analysis suggested by Japan for the interpretation of Article III.2. Interim review. Findings: Claims of the parties. Preliminary findings. Main findings. Conclusions. Annex I. Annex II. Annex III. Annex IV. Annex V. Annex VI. Annex VII.",DS10,Panel report,Normal Report,alcoholic beverages,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/13234/Q/WT/DS/8R.pdf
13234,96-2651,WT/DS8/R ; WT/DS10/R ; WT/DS11/R,,Japan - Taxes on Alcoholic Beverages - Report of the Panel,Japon - Taxes sur les boissons alcooliques - Rapport du Groupe spécial,Japón - Impuestos sobre las bebidas alcohólicas - Informe del Grupo Especial,1996-07-11 00:00:00.000000,,129,151,155,Complete,WT,Public,"Short title: Japan - Alcoholic Beverages II.
Introduction. Factual aspects: Japanese Liquor Tax Law. The 1987 Panel Report on Japan - Customs Duties, Taxes and Labelling Practices on Imported Wines and Alcoholic Beverages. Claims of the parties. Arguments of the parties: Preliminary objection of Japan. The legal value of the 1987 Panel Report. General presentation of the arguments of the parties on Article III.2. Article III.2, first sentence. Article III.2, second sentence. Application to the present case of the legal analysis suggested by the United States for the interpretation of Article III.2. Application to the present case of the legal analysis suggested by Japan for the interpretation of Article III.2. Interim review. Findings: Claims of the parties. Preliminary findings. Main findings. Conclusions. Annex I. Annex II. Annex III. Annex IV. Annex V. Annex VI. Annex VII.",DS11,Panel report,Normal Report,alcoholic beverages,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/13234/Q/WT/DS/8R.pdf
7386,96-0326,WT/DS2/R,,United States - Standards for Reformulated and Conventional Gasoline - Report of the Panel,États-Unis - Normes concernant l'essence nouvelle et ancienne formules - Rapport du Groupe spécial,Estados Unidos - Pautas para la gasolina reformulada y convencional - Informe del Grupo,1996-01-29 00:00:00.000000,1996-05-20 00:00:00.000000,47,52,53,Complete,WT,Public,"Short title: US - Gasoline. 
Introduction. Factual aspects: The Clean Air Act. EPA's Gasoline Rule. The May 1994 proposal. Main arguments: General. The General Agreement on Tariffs and Trade. Agreement on Technical barriers to Trade. Submission by interested third parties: The European Communities, Norway. Interim review. Findings: Introduction. Article III. Article I.1. Article XX.b. Article XX.d. Article XX.g. Article XXIII.1.b. Applicability of the Agreement on Technical Barriers to Trade. Concluding remarks. Conclusions.",DS2,Panel report,Normal Report,gasoline,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/7386/Q/WT/DS/2R.pdf
5925,96-3118,WT/DS12/R ; WT/DS14/R,,European Communities - Trade Description of Scallops (Requests by Peru and Chile) - Report of the Panel,Communautés européennes - Désignation commerciale des pectinides (Demandes du Pérou et du Chili) - Rapport du Groupe spécial,Comunidades Europeas - Denominación comercial de los moluscos del género pectinidae (Solicitudes del Perú y Chile) - Informe del Grupo Especial,1996-08-05 00:00:00.000000,,4,4,4,Complete,WT,Public,"Short title: EC - Scallops (Peru and Chile). 
Mutually agreed solution.",DS12,Panel report,Normal Report,scallops,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/5925/Q/WT/DS/12R.pdf
5925,96-3118,WT/DS12/R ; WT/DS14/R,,European Communities - Trade Description of Scallops (Requests by Peru and Chile) - Report of the Panel,Communautés européennes - Désignation commerciale des pectinides (Demandes du Pérou et du Chili) - Rapport du Groupe spécial,Comunidades Europeas - Denominación comercial de los moluscos del género pectinidae (Solicitudes del Perú y Chile) - Informe del Grupo Especial,1996-08-05 00:00:00.000000,,4,4,4,Complete,WT,Public,"Short title: EC - Scallops (Peru and Chile). 
Mutually agreed solution.",DS14,Panel report,Normal Report,scallops,https://docs.wto.org/dol2fe/Pages/FE_Search/DDFDocuments/5925/Q/WT/DS/12R.pdf
